L_HOOD,Neighborhood_Name,Owner_Households,Non-Zero_Cost_Owner_Households,Owner_Costs_lt_20.0%,Owner_Costs_20.0-24.9%,Owner_Costs_25.0-29.9%,Owner_Costs_30.0-34.9%,Owner_Costs_Over_35,S_HOOD_ALT_NAMES,Total_Under_25,Ratio_Under_25
Ballard,WhittierHeightsBallardBallard,9270,7563,3567,1268,762,680,1271,"LoyalHeights,Adams,WhittierHeights,WestWoodland,SunsetHill,GoldenGardens,Shilshole,BallardLoyalHeights,Adams,WhittierHeights,WestWoodland,SunsetHill,GoldenGardens,Shilshole,BallardLoyalHeights,Adams,WhittierHeights,WestWoodland,SunsetHill,GoldenGardens,Shilshole,Ballard",4835,0.5215749730312838
Beacon Hill,NorthBeaconHill,1651,1027,354,237,164,40,232,"NorthBeaconHill,Mid-BeaconHill,SouthBeaconHill,HollyPark,JeffersonPark,NewHolly",591,0.3579648697758934
Capitol Hill,NorthCapitolHillMillerParkMadisonParkMadison-Miller,6184,4227,2164,631,510,126,781,"PortageBay,Montlake,MadisonPark,Broadway,Stevens,InterlakenPark,RoanokePark,WashingtonPark,NorthCapitolHill,Pike/Pine,Madison-Miller,MillerPark,BroadmoorPortageBay,Montlake,MadisonPark,Broadway,Stevens,InterlakenPark,RoanokePark,WashingtonPark,NorthCapitolHill,Pike/Pine,Madison-Miller,MillerPark,BroadmoorPortageBay,Montlake,MadisonPark,Broadway,Stevens,InterlakenPark,RoanokePark,WashingtonPark,NorthCapitolHill,Pike/Pine,Madison-Miller,MillerPark,BroadmoorPortageBay,Montlake,MadisonPark,Broadway,Stevens,InterlakenPark,RoanokePark,WashingtonPark,NorthCapitolHill,Pike/Pine,Madison-Miller,MillerPark,Broadmoor",2795,0.4519728331177232
Cascade,EastlakeSouthLakeUnion,1323,853,472,144,67,64,106,"Westlake,Eastlake,SouthLakeUnionWestlake,Eastlake,SouthLakeUnion",616,0.4656084656084656
Central Area,JudkinsPark,508,271,113,44,48,25,41,"Madrona,Harrison/Denny-Blaine,Minor,Leschi,Mann,Atlantic,SquirePark,JudkinsPark,CentralDistrict,Colman,Garfield,JacksonPlace",157,0.3090551181102362
Delridge,NorthDelridgeHighPointRiverviewHighlandParkHighlandPark,9088,7053,3418,1132,823,508,1163,"HighlandPark,NorthDelridge,Riverview,HighPoint,SouthDelridge,Roxhill,Westwood,HighlandPark,WhiteCenter,Avalon,LunaPark,PigeonPointHighlandPark,NorthDelridge,Riverview,HighPoint,SouthDelridge,Roxhill,Westwood,HighlandPark,WhiteCenter,Avalon,LunaPark,PigeonPointHighlandPark,NorthDelridge,Riverview,HighPoint,SouthDelridge,Roxhill,Westwood,HighlandPark,WhiteCenter,Avalon,LunaPark,PigeonPointHighlandPark,NorthDelridge,Riverview,HighPoint,SouthDelridge,Roxhill,Westwood,HighlandPark,WhiteCenter,Avalon,LunaPark,PigeonPointHighlandPark,NorthDelridge,Riverview,HighPoint,SouthDelridge,Roxhill,Westwood,HighlandPark,WhiteCenter,Avalon,LunaPark,PigeonPoint",4550,0.5006602112676056
Downtown,FirstHillBelltown,3728,2530,1347,541,301,105,236,"Pike-Market,Belltown,InternationalDistrict,CentralBusinessDistrict,FirstHill,YeslerTerrace,PioneerSquare,DennyRegrade,DennyTriangle,CommercialCore,WestEdge,PikePlaceMarket,Chinatown,LittleSaigon,IDPike-Market,Belltown,InternationalDistrict,CentralBusinessDistrict,FirstHill,YeslerTerrace,PioneerSquare,DennyRegrade,DennyTriangle,CommercialCore,WestEdge,PikePlaceMarket,Chinatown,LittleSaigon,ID",1888,0.5064377682403434
Greater Duwamish,SouthParkSouthParkGeorgetown,1795,1392,642,267,208,72,203,"IndustrialDistrict,Georgetown,SouthPark,HarborIsland,SODOIndustrialDistrict,Georgetown,SouthPark,HarborIsland,SODOIndustrialDistrict,Georgetown,SouthPark,HarborIsland,SODO",909,0.5064066852367688
Interbay,Interbay,2116,1521,632,247,260,146,197,Interbay,879,0.41540642722117205
North Central,GreenLakeGreenLakeFremontFremontWallingfordWallingford,13628,9835,5761,1257,775,732,1310,"PhinneyRidge,Wallingford,Fremont,GreenLake,WoodlandPark,Meridian,Northlake,TangleTownPhinneyRidge,Wallingford,Fremont,GreenLake,WoodlandPark,Meridian,Northlake,TangleTownPhinneyRidge,Wallingford,Fremont,GreenLake,WoodlandPark,Meridian,Northlake,TangleTownPhinneyRidge,Wallingford,Fremont,GreenLake,WoodlandPark,Meridian,Northlake,TangleTownPhinneyRidge,Wallingford,Fremont,GreenLake,WoodlandPark,Meridian,Northlake,TangleTownPhinneyRidge,Wallingford,Fremont,GreenLake,WoodlandPark,Meridian,Northlake,TangleTown",7018,0.5149691810977399
Northeast,Roosevelt,492,335,217,44,18,17,39,"ViewRidge,Ravenna,SandPoint,Bryant,Windermere,Laurelhurst,Roosevelt,Wedgwood,HawthorneHills,UniversityVillage,Fairview",261,0.5304878048780488
Northgate,LictonSpringsHallerLake,4576,3431,1438,545,421,206,821,"HallerLake,Pinehurst,NorthCollegePark,MapleLeaf,JacksonPark,LictonSprings,OlympicViewHallerLake,Pinehurst,NorthCollegePark,MapleLeaf,JacksonPark,LictonSprings,OlympicView",1983,0.4333479020979021
Northwest,NorthBeach/BlueRidgeCrownHill,5187,3983,2119,630,396,307,513,"Broadview,BitterLake,NorthBeach/BlueRidge,CrownHill,GreenwoodBroadview,BitterLake,NorthBeach/BlueRidge,CrownHill,Greenwood",2749,0.5299787931366878
Queen Anne,Uptown,1772,1326,486,246,79,117,256,"EastQueenAnne,WestQueenAnne,LowerQueenAnne,NorthQueenAnne,Uptown,SeattleCenter",732,0.41309255079006774
Rainier Valley,RainierBeachRainierBeachColumbiaCityColumbiaCity,10142,7646,3412,1170,817,601,1646,"Brighton,Dunlap,RainierBeach,MountBaker,ColumbiaCity,NorthRainier,LakeRidge,RainierView,ColumbiaHeightsBrighton,Dunlap,RainierBeach,MountBaker,ColumbiaCity,NorthRainier,LakeRidge,RainierView,ColumbiaHeightsBrighton,Dunlap,RainierBeach,MountBaker,ColumbiaCity,NorthRainier,LakeRidge,RainierView,ColumbiaHeightsBrighton,Dunlap,RainierBeach,MountBaker,ColumbiaCity,NorthRainier,LakeRidge,RainierView,ColumbiaHeights",4582,0.45178465785841054
Seward Park,SewardPark,2861,2084,862,336,223,207,456,"SewardPark,Lakewood,HillmanCity",1198,0.4187347081440056
University District,UniversityDistrictUniversityDistrict,1713,927,486,96,29,17,299,"UniversityDistrict,CowenPark,UniversityHeightsUniversityDistrict,CowenPark,UniversityHeights",582,0.3397548161120841
West Seattle,ArborHeightsWestSeattleJunctionMorganJunction,5468,4124,1618,838,645,206,817,"Seaview,Gatewood,ArborHeights,Alki,NorthAdmiral,FairmountPark,Genesee,Fauntleroy,MorganJunction,AlaskaJunction,Belvidere,WestSeattleJunction,BracePoint,Endolyne,ArroyoHeightsSeaview,Gatewood,ArborHeights,Alki,NorthAdmiral,FairmountPark,Genesee,Fauntleroy,MorganJunction,AlaskaJunction,Belvidere,WestSeattleJunction,BracePoint,Endolyne,ArroyoHeightsSeaview,Gatewood,ArborHeights,Alki,NorthAdmiral,FairmountPark,Genesee,Fauntleroy,MorganJunction,AlaskaJunction,Belvidere,WestSeattleJunction,BracePoint,Endolyne,ArroyoHeights",2456,0.4491587417702999
