L_HOOD,Aggregate_income_in_the_past_12_months_(in_2022_inflation-adjusted_dollars),Total_Households,Total_Population,Mean_Yearly_Income,Total_under_35,Ratio_Under_35
Ballard,4242418600,25295,47110,167717.6754299269,9496,0.5925741029641186
Beacon Hill,452465100,3298,6966,137193.7841115828,666,0.4043715846994535
Capitol Hill,3345814900,13996,27450,239055.0800228637,4764,0.6098310291858678
Cascade,2050584500,11782,17828,174043.83805805465,7052,0.6742518405201262
Central Area,278626100,2337,4256,119223.83397518186,851,0.4652815746309459
Delridge,2201579600,15172,36362,145108.0674927498,2418,0.3974358974358974
Downtown,2824915100,18203,30593,155189.53469208372,8390,0.5796200345423144
Greater Duwamish,491841500,3666,9301,134162.98417894164,752,0.4019241047568145
Interbay,1076111900,6273,12104,171546.61246612467,3090,0.7433245128698581
North Central,6680328000,38363,72961,174134.6610014858,13574,0.5487770365878311
Northeast,373103900,2413,4377,154622.4202237878,880,0.4580947423217074
Northgate,1368921700,9251,20545,147975.5377796995,2650,0.5668449197860963
Northwest,1542457500,7036,17118,219223.6355884025,1118,0.6046511627906976
Queen Anne,1228534100,8666,12825,141764.8396030464,4310,0.6251813170873223
Rainier Valley,3065032200,20665,51901,148319.97096540043,4699,0.4465456618834933
Seward Park,748256500,4017,11198,186272.46701518545,624,0.5397923875432526
University District,1500695800,16790,52658,89380.3335318642,4327,0.2869934337069709
West Seattle,1637646400,10726,20019,152680.06712660825,2773,0.5273868391023203
